tag_id,index,year,month,day,AM91,AM91,AM91,AM93,AM93,AM93,AM99,AM99,AM99
,,,,,latitude,longitude,temperature,latitude,longitude,temperature,latitude,longitude,temperature
87,224,2008,3,24,-24.39583875,31.829594166666666,29.041666666666668,-24.394615869565214,31.826638478260872,29.52173913043478,-24.297645499999998,31.78434875,29.975
88,225,2008,3,25,-24.4171175,31.905913541666667,29.479166666666668,-24.406116666666666,31.897895416666668,29.5,-24.273449361702127,31.794552553191487,30.425531914893618
89,226,2008,3,26,-24.464054583333333,31.940576250000003,30.9375,-24.459930000000004,31.94312,32.0,-24.28120613636364,31.769209545454544,30.045454545454547
90,227,2008,3,27,-24.481876458333332,31.949657916666666,29.9375,-24.481807500000002,31.951238333333333,30.0,-24.294831590909094,31.75416409090909,28.90909090909091
91,228,2008,3,28,-24.47321377777778,31.93841777777778,31.177777777777777,-24.46464,31.940718125,29.75,-24.268438297872343,31.660739361702127,29.46808510638298
92,229,2008,3,29,-24.439424042553192,31.935909148936172,29.51063829787234,-24.43682230769231,31.936692307692308,30.23076923076923,-24.24508931818182,31.651978863636362,29.522727272727273
93,230,2008,3,30,-24.45613,31.95509020833333,30.229166666666668,-24.454685833333333,31.955595,30.166666666666668,-24.320720434782608,31.672936304347825,28.58695652173913
94,231,2008,3,31,-24.464261250000003,31.966972708333333,30.6875,-24.46284055555556,31.96723888888889,28.61111111111111,-24.38001488888889,31.680164444444447,29.377777777777776
95,232,2008,4,1,-24.467984791666666,31.960518124999997,29.666666666666668,-24.467195,31.962762142857144,30.142857142857142,-24.374900444444442,31.662774888888887,27.444444444444443
96,233,2008,4,2,-24.460485000000002,31.959586458333334,27.083333333333332,-24.462274444444446,31.963274444444444,27.88888888888889,-24.357484545454543,31.612866590909093,26.477272727272727
97,234,2008,4,3,-24.470436458333335,31.974997083333335,28.395833333333332,-24.47268125,31.9757,30.625,-24.307658043478263,31.646726739130436,27.08695652173913
98,235,2008,4,4,-24.456562708333333,31.96625895833333,28.0625,-24.454939999999997,31.967303333333334,27.916666666666668,-24.246937021276594,31.653031063829786,27.914893617021278
99,236,2008,4,5,-24.444408541666665,31.949613125,29.4375,-24.44679909090909,31.951103636363634,30.272727272727273,-24.281408139534886,31.743897441860465,28.511627906976745
100,237,2008,4,6,-24.442016739130434,31.96214195652174,30.108695652173914,-24.442481666666666,31.96293055555556,28.88888888888889,-24.291564871794872,31.768875897435894,29.82051282051282
101,238,2008,4,7,-24.44239208333333,31.97247270833333,29.25,-24.440542142857144,31.971938571428574,28.642857142857142,-24.282349999999997,31.73032375,28.604166666666668
102,239,2008,4,8,-24.453038333333335,31.964629791666667,29.333333333333332,-24.451542500000002,31.9657125,28.75,-24.286455869565216,31.749738478260866,28.282608695652176
103,240,2008,4,9,-24.45678666666667,31.938560624999997,27.895833333333332,-24.456314545454543,31.938470909090906,28.818181818181817,-24.265190666666665,31.666220888888887,25.488888888888887
104,241,2008,4,10,-24.459274166666663,31.931326249999998,28.541666666666668,-24.461666470588234,31.93368588235294,27.294117647058822,-24.247158,31.64474377777778,28.377777777777776
105,242,2008,4,11,-24.4787875,31.944018125,29.083333333333332,-24.477832727272723,31.94336636363636,28.0,-24.23827133333333,31.70195488888889,28.466666666666665
106,243,2008,4,12,-24.478272083333334,31.91914,28.9375,-24.479997,31.923214,27.7,-24.24855711111111,31.665924666666665,29.88888888888889
107,244,2008,4,13,-24.448202978723405,31.899856382978722,27.5531914893617,-24.446694285714287,31.899589047619045,29.571428571428573,-24.28031510638298,31.635132765957447,27.829787234042552
108,245,2008,4,14,-24.458250208333336,31.911865416666668,26.875,-24.455259166666668,31.91088166666667,26.833333333333332,-24.310176666666667,31.642798,27.066666666666666
109,246,2008,4,15,-24.479141249999998,31.90504291666667,27.458333333333332,-24.47575857142857,31.905130000000003,26.785714285714285,-24.371268536585365,31.66974780487805,30.4390243902439
110,247,2008,4,16,-24.483916249999996,31.894705000000002,27.895833333333332,-24.484893333333336,31.89679,26.333333333333332,-24.380350444444446,31.691898222222225,28.933333333333334
111,248,2008,4,17,-24.490758541666665,31.892632083333336,28.9375,-24.494499285714287,31.89124357142857,29.714285714285715,-24.359071702127657,31.680354680851064,29.02127659574468
112,249,2008,4,18,-24.492183333333333,31.882428125,29.145833333333332,-24.493987333333333,31.887414,27.466666666666665,-24.343677826086957,31.664180217391305,29.0
113,250,2008,4,19,-24.48470395833333,31.855897291666665,28.75,-24.48475333333333,31.85598166666667,28.944444444444443,-24.35781340425532,31.676487021276593,28.872340425531913
114,251,2008,4,20,-24.48158125,31.849701874999997,28.145833333333332,-24.483497647058826,31.85136,27.294117647058822,-24.358382173913043,31.682888260869564,28.891304347826086
115,252,2008,4,21,-24.484905416666667,31.880039791666665,22.833333333333332,-24.488325999999997,31.880686,21.466666666666665,-24.358996382978724,31.64513489361702,23.27659574468085
116,253,2008,4,22,-24.49300020833333,31.915834166666667,24.958333333333332,-24.49392142857143,31.917735,23.5,-24.359013260869563,31.640201739130436,25.17391304347826
117,254,2008,4,23,-24.463830416666667,31.939051666666668,26.041666666666668,-24.46593888888889,31.93904444444444,28.22222222222222,-24.369467826086954,31.639770652173915,26.108695652173914
118,255,2008,4,24,-24.44430979166667,31.926594583333337,25.541666666666668,-24.442627826086955,31.930421304347824,24.91304347826087,-24.365664318181818,31.645734545454545,25.295454545454547
119,256,2008,4,25,-24.432115,31.896694791666665,26.9375,-24.43147263157895,31.901813684210527,24.157894736842106,-24.29568860465116,31.64218465116279,27.325581395348838
120,257,2008,4,26,-24.38982270833333,31.88175166666667,27.020833333333332,-24.388468095238096,31.88408619047619,27.666666666666668,-24.24649976190476,31.64002,28.071428571428573
121,258,2008,4,27,-24.391975416666668,31.88368791666667,26.270833333333332,-24.39304657142857,31.881792571428573,25.17142857142857,-24.26313085106383,31.650892340425532,26.74468085106383
122,259,2008,4,28,-24.407546041666667,31.891719166666665,28.020833333333332,-24.412448571428573,31.897462380952383,28.952380952380953,-24.27524891304348,31.63764152173913,27.67391304347826
123,260,2008,4,29,-24.448862291666668,31.894498958333333,27.0,-24.445316521739134,31.893389130434784,25.391304347826086,-24.276124651162792,31.632220232558137,28.25581395348837
124,261,2008,4,30,-24.434003750000002,31.904716041666664,27.479166666666668,-24.434826666666666,31.904524,27.466666666666665,-24.26038931818182,31.646466818181818,27.84090909090909
125,262,2008,5,1,-24.39904,31.907825833333334,27.354166666666668,-24.396818181818183,31.905599545454546,27.59090909090909,-24.24015625,31.635482916666664,27.416666666666668
126,263,2008,5,2,-24.407166086956522,31.90103695652174,24.934782608695652,-24.404569375,31.9020353125,23.125,-24.258593863636364,31.62411818181818,25.204545454545453
127,264,2008,5,3,-24.43735531914894,31.912889999999997,26.085106382978722,-24.43488857142857,31.916424285714285,27.0,-24.309218260869567,31.618866086956523,25.130434782608695
128,265,2008,5,4,-24.423015625,31.89525,25.708333333333332,-24.41285294117647,31.895384705882353,24.470588235294116,-24.28826510638298,31.646475319148937,25.70212765957447
129,266,2008,5,5,-24.384136458333334,31.897075625,28.645833333333332,-24.385325555555553,31.897936666666666,27.74074074074074,-24.233736304347826,31.640022608695652,28.847826086956523
130,267,2008,5,6,-24.385545531914897,31.900849361702125,28.48936170212766,-24.383126153846153,31.900505000000003,25.576923076923077,-24.24622045454545,31.639807954545457,28.386363636363637
131,268,2008,5,7,-24.401429743589745,31.890830512820514,25.0,-24.405313200000002,31.8899092,25.36,-24.286848695652175,31.708082826086954,27.065217391304348
132,269,2008,5,8,-24.396141818181817,31.851920000000003,25.545454545454547,-24.395350975609755,31.854069268292683,25.75609756097561,-24.30548511111111,31.759092666666664,27.488888888888887
133,270,2008,5,9,-24.386071041666668,31.794136875000003,25.916666666666668,-24.386536875,31.795864166666664,25.75,-24.313859375000003,31.669761041666664,27.208333333333332
134,271,2008,5,10,-24.37997255319149,31.77275574468085,28.127659574468087,-24.380193958333333,31.773323125,27.6875,-24.260257391304346,31.63428608695652,28.17391304347826
135,272,2008,5,11,-24.386234583333334,31.77360979166667,29.3125,-24.385256458333334,31.773977291666668,29.3125,-24.250317499999998,31.630546136363638,28.25
136,273,2008,5,12,-24.385138333333334,31.764712083333333,28.104166666666668,-24.390664166666667,31.764082291666668,27.625,-24.32453739130435,31.660784347826088,27.58695652173913
